time, counts
2017/02/05 22:30:30, 2296
2017/02/05 22:31:0, 2379
2017/02/05 22:31:30, 2274
2017/02/05 22:32:0, 2309
2017/02/05 22:32:30, 2159
2017/02/05 22:33:0, 2223
2017/02/05 22:33:30, 2302
2017/02/05 22:34:0, 3453
2017/02/05 22:34:30, 3339
2017/02/05 22:35:0, 2237
2017/02/05 22:35:30, 1951
2017/02/05 22:36:0, 2071
2017/02/05 22:36:30, 1983
2017/02/05 22:37:0, 2185
2017/02/05 22:37:30, 2032
2017/02/05 22:38:0, 2131
2017/02/05 22:38:30, 1923
2017/02/05 22:39:0, 2097
2017/02/05 22:39:30, 2099
2017/02/05 22:40:0, 2367
2017/02/05 22:40:30, 2231
2017/02/05 22:41:0, 2704
2017/02/05 22:41:30, 2579
2017/02/05 22:42:0, 2569
2017/02/05 22:42:30, 2584
2017/02/05 22:43:0, 2546
2017/02/05 22:43:30, 2409
2017/02/05 22:44:0, 2419
2017/02/05 22:44:30, 2354
2017/02/05 22:45:0, 2506
2017/02/05 22:45:30, 2366
2017/02/05 22:46:0, 2321
2017/02/05 22:46:30, 2159
2017/02/05 22:47:0, 2353
2017/02/05 22:47:30, 2279
2017/02/05 22:48:0, 2516
2017/02/05 22:48:30, 2868
2017/02/05 22:49:0, 2988
2017/02/05 22:49:30, 3056
2017/02/05 22:50:0, 4104
2017/02/05 22:50:30, 3803
2017/02/05 22:51:0, 3291
2017/02/05 22:51:30, 3232
2017/02/05 22:52:0, 3195
2017/02/05 22:52:30, 2853
2017/02/05 22:53:0, 3045
2017/02/05 22:53:30, 2901
2017/02/05 22:54:0, 2977
2017/02/05 22:54:30, 3065
2017/02/05 22:55:0, 3090
2017/02/05 22:55:30, 3081
2017/02/05 22:56:0, 2806
2017/02/05 22:56:30, 2928
2017/02/05 22:57:0, 2923
2017/02/05 22:57:30, 2945
2017/02/05 22:58:0, 3276
2017/02/05 22:58:30, 2994
2017/02/05 22:59:0, 3192
2017/02/05 22:59:30, 3151
2017/02/05 23:00:0, 3750
2017/02/05 23:00:30, 3362
2017/02/05 23:01:0, 3172
2017/02/05 23:01:30, 3138
2017/02/05 23:02:0, 2992
2017/02/05 23:02:30, 3188
2017/02/05 23:03:0, 3283
2017/02/05 23:03:30, 3027
2017/02/05 23:04:0, 3090
2017/02/05 23:04:30, 3111
2017/02/05 23:05:0, 3171
2017/02/05 23:05:30, 3519
2017/02/05 23:06:0, 3534
2017/02/05 23:06:30, 3499
2017/02/05 23:07:0, 3342
2017/02/05 23:07:30, 3160
2017/02/05 23:08:0, 3219
2017/02/05 23:08:30, 3007
2017/02/05 23:09:0, 3392
2017/02/05 23:09:30, 3272
2017/02/05 23:10:0, 3084
2017/02/05 23:10:30, 3042
2017/02/05 23:11:0, 3375
2017/02/05 23:11:30, 3154
2017/02/05 23:12:0, 2957
2017/02/05 23:12:30, 2827
2017/02/05 23:13:0, 2706
2017/02/05 23:13:30, 2668
2017/02/05 23:14:0, 2886
2017/02/05 23:14:30, 2992
2017/02/05 23:15:0, 3464
2017/02/05 23:15:30, 3482
2017/02/05 23:16:0, 3277
2017/02/05 23:16:30, 3251
2017/02/05 23:17:0, 3360
2017/02/05 23:17:30, 3332
2017/02/05 23:18:0, 3598
2017/02/05 23:18:30, 3890
2017/02/05 23:19:0, 3967
2017/02/05 23:19:30, 3866
2017/02/05 23:20:0, 4088
2017/02/05 23:20:30, 4116
2017/02/05 23:21:0, 4363
2017/02/05 23:21:30, 4166
2017/02/05 23:22:0, 4111
2017/02/05 23:22:30, 3886
2017/02/05 23:23:0, 3824
2017/02/05 23:23:30, 3564
2017/02/05 23:24:0, 4162
2017/02/05 23:24:30, 4721
2017/02/05 23:25:0, 5458
2017/02/05 23:25:30, 5180
2017/02/05 23:26:0, 5407
2017/02/05 23:26:30, 5278
2017/02/05 23:27:0, 5847
2017/02/05 23:27:30, 5860
2017/02/05 23:28:0, 6135
2017/02/05 23:28:30, 6303
2017/02/05 23:29:0, 6516
2017/02/05 23:29:30, 6242
2017/02/05 23:30:0, 6601
2017/02/05 23:30:30, 6682
2017/02/05 23:31:0, 7128
2017/02/05 23:31:30, 7036
2017/02/05 23:32:0, 5507
2017/02/05 23:32:30, 5869
2017/02/05 23:33:0, 6613
2017/02/05 23:33:30, 6592
2017/02/05 23:34:0, 5887
2017/02/05 23:34:30, 6881
2017/02/05 23:35:0, 7364
2017/02/05 23:35:30, 7138
2017/02/05 23:36:0, 7062
2017/02/05 23:36:30, 7817
2017/02/05 23:37:0, 8049
2017/02/05 23:37:30, 8053
2017/02/05 23:38:0, 7705
2017/02/05 23:38:30, 6342
2017/02/05 23:39:0, 6082
2017/02/05 23:39:30, 5404
2017/02/05 23:40:0, 5951
2017/02/05 23:40:30, 5598
2017/02/05 23:41:0, 6424
2017/02/05 23:41:30, 5098
2017/02/05 23:42:0, 6293
2017/02/05 23:42:30, 6036
2017/02/05 23:43:0, 5637
2017/02/05 23:43:30, 4746
2017/02/05 23:44:0, 4553
2017/02/05 23:44:30, 4499
2017/02/05 23:45:0, 5200
2017/02/05 23:45:30, 5374
2017/02/05 23:46:0, 5497
2017/02/05 23:46:30, 5303
2017/02/05 23:47:0, 5595
2017/02/05 23:47:30, 5142
2017/02/05 23:48:0, 5335
2017/02/05 23:48:30, 4867
2017/02/05 23:49:0, 5066
2017/02/05 23:49:30, 4886
2017/02/05 23:50:0, 4801
2017/02/05 23:50:30, 4471
2017/02/05 23:51:0, 4498
2017/02/05 23:51:30, 4566
2017/02/05 23:52:0, 4815
2017/02/05 23:52:30, 4571
2017/02/05 23:53:0, 4001
2017/02/05 23:53:30, 5341
2017/02/05 23:54:0, 5556
2017/02/05 23:54:30, 5841
2017/02/05 23:55:0, 5958
2017/02/05 23:55:30, 5015
2017/02/05 23:56:0, 6336
2017/02/05 23:56:30, 5969
2017/02/05 23:57:0, 5305
2017/02/05 23:57:30, 4824
2017/02/05 23:58:0, 4841
2017/02/05 23:58:30, 4620
2017/02/05 23:59:0, 4195
2017/02/05 23:59:30, 4643
2017/02/06 00:00:0, 4810
2017/02/06 00:00:30, 4731
2017/02/06 00:01:0, 4823
2017/02/06 00:01:30, 4988
2017/02/06 00:02:0, 5660
2017/02/06 00:02:30, 5302
2017/02/06 00:03:0, 5144
2017/02/06 00:03:30, 4960
2017/02/06 00:04:0, 5131
2017/02/06 00:04:30, 5234
2017/02/06 00:05:0, 5309
2017/02/06 00:05:30, 5593
2017/02/06 00:06:0, 6075
2017/02/06 00:06:30, 6385
2017/02/06 00:07:0, 6846
2017/02/06 00:07:30, 6061
2017/02/06 00:08:0, 5841
2017/02/06 00:08:30, 5923
2017/02/06 00:09:0, 6549
2017/02/06 00:09:30, 6105
2017/02/06 00:10:0, 5860
2017/02/06 00:10:30, 4998
2017/02/06 00:11:0, 6761
2017/02/06 00:11:30, 6567
2017/02/06 00:12:0, 6443
2017/02/06 00:12:30, 5980
2017/02/06 00:13:0, 6208
2017/02/06 00:13:30, 6122
2017/02/06 00:14:0, 5329
2017/02/06 00:14:30, 5111
2017/02/06 00:15:0, 6258
2017/02/06 00:15:30, 6784
2017/02/06 00:16:0, 7399
2017/02/06 00:16:30, 11453
2017/02/06 00:17:0, 10359
2017/02/06 00:17:30, 9010
2017/02/06 00:18:0, 8901
2017/02/06 00:18:30, 8045
2017/02/06 00:19:0, 8471
2017/02/06 00:19:30, 8203
2017/02/06 00:20:0, 7494
2017/02/06 00:20:30, 6165
2017/02/06 00:21:0, 6540
2017/02/06 00:21:30, 6419
2017/02/06 00:22:0, 5699
2017/02/06 00:22:30, 6161
2017/02/06 00:23:0, 5634
2017/02/06 00:23:30, 5067
2017/02/06 00:24:0, 5830
2017/02/06 00:24:30, 6645
2017/02/06 00:25:0, 7748
2017/02/06 00:25:30, 6427
2017/02/06 00:26:0, 6849
2017/02/06 00:26:30, 7327
2017/02/06 00:27:0, 6210
2017/02/06 00:27:30, 6181
2017/02/06 00:28:0, 8472
2017/02/06 00:28:30, 10859
2017/02/06 00:29:0, 9152
2017/02/06 00:29:30, 8764
2017/02/06 00:30:0, 9908
2017/02/06 00:30:30, 9884
2017/02/06 00:31:0, 9505
2017/02/06 00:31:30, 9299
2017/02/06 00:32:0, 9312
2017/02/06 00:32:30, 8721
2017/02/06 00:33:0, 8216
2017/02/06 00:33:30, 7558
2017/02/06 00:34:0, 7329
2017/02/06 00:34:30, 7029
2017/02/06 00:35:0, 7016
2017/02/06 00:35:30, 6151
2017/02/06 00:36:0, 6795
2017/02/06 00:36:30, 6552
2017/02/06 00:37:0, 6129
2017/02/06 00:37:30, 6255
2017/02/06 00:38:0, 5804
2017/02/06 00:38:30, 6508
2017/02/06 00:39:0, 6828
2017/02/06 00:39:30, 6299
2017/02/06 00:40:0, 6383
2017/02/06 00:40:30, 6551
2017/02/06 00:41:0, 6240
2017/02/06 00:41:30, 7811
2017/02/06 00:42:0, 7806
2017/02/06 00:42:30, 7200
2017/02/06 00:43:0, 6975
2017/02/06 00:43:30, 6089
2017/02/06 00:44:0, 6342
2017/02/06 00:44:30, 6709
2017/02/06 00:45:0, 15568
2017/02/06 00:45:30, 17039
2017/02/06 00:46:0, 17714
2017/02/06 00:46:30, 18537
2017/02/06 00:47:0, 18564
2017/02/06 00:47:30, 17623
2017/02/06 00:48:0, 16956
2017/02/06 00:48:30, 14398
2017/02/06 00:49:0, 12789
2017/02/06 00:49:30, 12525
2017/02/06 00:50:0, 11293
2017/02/06 00:50:30, 11595
2017/02/06 00:51:0, 11355
2017/02/06 00:51:30, 9781
2017/02/06 00:52:0, 10139
2017/02/06 00:52:30, 9189
2017/02/06 00:53:0, 8820
2017/02/06 00:53:30, 8439
2017/02/06 00:54:0, 8553
2017/02/06 00:54:30, 8843
2017/02/06 00:55:0, 9314
2017/02/06 00:55:30, 8022
2017/02/06 00:56:0, 8020
2017/02/06 00:56:30, 7267
2017/02/06 00:57:0, 7355
2017/02/06 00:57:30, 7317
2017/02/06 00:58:0, 6784
2017/02/06 00:58:30, 7539
2017/02/06 00:59:0, 7264
2017/02/06 00:59:30, 7103
2017/02/06 01:00:0, 6541
2017/02/06 01:00:30, 6703
2017/02/06 01:01:0, 6212
2017/02/06 01:01:30, 7174
2017/02/06 01:02:0, 7114
2017/02/06 01:02:30, 8300
2017/02/06 01:03:0, 8459
2017/02/06 01:03:30, 8579
2017/02/06 01:04:0, 9600
2017/02/06 01:04:30, 9542
2017/02/06 01:05:0, 9222
2017/02/06 01:05:30, 9205
2017/02/06 01:06:0, 9132
2017/02/06 01:06:30, 8700
2017/02/06 01:07:0, 8865
2017/02/06 01:07:30, 8837
2017/02/06 01:08:0, 8658
2017/02/06 01:08:30, 8750
2017/02/06 01:09:0, 8429
2017/02/06 01:09:30, 11303
2017/02/06 01:10:0, 8644
2017/02/06 01:10:30, 7867
2017/02/06 01:11:0, 8614
2017/02/06 01:11:30, 9130
2017/02/06 01:12:0, 8851
2017/02/06 01:12:30, 8126
2017/02/06 01:13:0, 8967
2017/02/06 01:13:30, 7907
2017/02/06 01:14:0, 7596
2017/02/06 01:14:30, 6871
2017/02/06 01:15:0, 7719
2017/02/06 01:15:30, 9298
2017/02/06 01:16:0, 9055
2017/02/06 01:16:30, 9224
2017/02/06 01:17:0, 9502
2017/02/06 01:17:30, 9705
2017/02/06 01:18:0, 9615
2017/02/06 01:18:30, 10183
2017/02/06 01:19:0, 10178
2017/02/06 01:19:30, 10134
2017/02/06 01:20:0, 11192
2017/02/06 01:20:30, 11449
2017/02/06 01:21:0, 10872
2017/02/06 01:21:30, 11850
2017/02/06 01:22:0, 11817
2017/02/06 01:22:30, 12556
2017/02/06 01:23:0, 11906
2017/02/06 01:23:30, 11047
2017/02/06 01:24:0, 10830
2017/02/06 01:24:30, 11338
2017/02/06 01:25:0, 11303
2017/02/06 01:25:30, 10856
2017/02/06 01:26:0, 11724
2017/02/06 01:26:30, 10847
2017/02/06 01:27:0, 16796
2017/02/06 01:27:30, 18867
2017/02/06 01:28:0, 21142
2017/02/06 01:28:30, 22677
2017/02/06 01:29:0, 22911
2017/02/06 01:29:30, 21857
2017/02/06 01:30:0, 21951
2017/02/06 01:30:30, 20624
2017/02/06 01:31:0, 18580
2017/02/06 01:31:30, 21758
2017/02/06 01:32:0, 19998
2017/02/06 01:32:30, 23026
2017/02/06 01:33:0, 22277
2017/02/06 01:33:30, 21137
2017/02/06 01:34:0, 19940
2017/02/06 01:34:30, 18965
2017/02/06 01:35:0, 18356
2017/02/06 01:35:30, 16390
2017/02/06 01:36:0, 15556
2017/02/06 01:36:30, 14227
2017/02/06 01:37:0, 13524
2017/02/06 01:37:30, 12524
2017/02/06 01:38:0, 12479
2017/02/06 01:38:30, 11006
2017/02/06 01:39:0, 11701
2017/02/06 01:39:30, 11578
2017/02/06 01:40:0, 11585
2017/02/06 01:40:30, 12648
2017/02/06 01:41:0, 12437
2017/02/06 01:41:30, 12405
2017/02/06 01:42:0, 12470
2017/02/06 01:42:30, 11695
2017/02/06 01:43:0, 11237
2017/02/06 01:43:30, 11190
2017/02/06 01:44:0, 10822
2017/02/06 01:44:30, 10860
2017/02/06 01:45:0, 10038
2017/02/06 01:45:30, 10301
2017/02/06 01:46:0, 9658
2017/02/06 01:46:30, 9184
2017/02/06 01:47:0, 9722
2017/02/06 01:47:30, 10412
2017/02/06 01:48:0, 11324
2017/02/06 01:48:30, 10500
2017/02/06 01:49:0, 10221
2017/02/06 01:49:30, 9318
2017/02/06 01:50:0, 10700
2017/02/06 01:50:30, 10694
2017/02/06 01:51:0, 10423
2017/02/06 01:51:30, 10064
2017/02/06 01:52:0, 10169
2017/02/06 01:52:30, 9003
2017/02/06 01:53:0, 9239
2017/02/06 01:53:30, 11204
2017/02/06 01:54:0, 14827
2017/02/06 01:54:30, 12803
2017/02/06 01:55:0, 11967
2017/02/06 01:55:30, 12493
2017/02/06 01:56:0, 11607
2017/02/06 01:56:30, 12927
2017/02/06 01:57:0, 11080
2017/02/06 01:57:30, 12058
2017/02/06 01:58:0, 12324
2017/02/06 01:58:30, 12163
2017/02/06 01:59:0, 11780
2017/02/06 01:59:30, 11224
2017/02/06 02:00:0, 10500
2017/02/06 02:00:30, 10388
2017/02/06 02:01:0, 10295
2017/02/06 02:01:30, 9908
2017/02/06 02:02:0, 9599
2017/02/06 02:02:30, 9157
2017/02/06 02:03:0, 8928
2017/02/06 02:03:30, 8445
2017/02/06 02:04:0, 8471
2017/02/06 02:04:30, 8940
2017/02/06 02:05:0, 8784
2017/02/06 02:05:30, 8276
2017/02/06 02:06:0, 8859
2017/02/06 02:06:30, 10425
2017/02/06 02:07:0, 10717
2017/02/06 02:07:30, 10391
2017/02/06 02:08:0, 10757
2017/02/06 02:08:30, 10428
2017/02/06 02:09:0, 9359
2017/02/06 02:09:30, 8696
2017/02/06 02:10:0, 8940
2017/02/06 02:10:30, 8220
2017/02/06 02:11:0, 8037
2017/02/06 02:11:30, 8629
2017/02/06 02:12:0, 9231
2017/02/06 02:12:30, 9211
2017/02/06 02:13:0, 8558
2017/02/06 02:13:30, 8068
2017/02/06 02:14:0, 8207
2017/02/06 02:14:30, 7885
2017/02/06 02:15:0, 8305
2017/02/06 02:15:30, 7877
2017/02/06 02:16:0, 8021
2017/02/06 02:16:30, 7106
2017/02/06 02:17:0, 7787
2017/02/06 02:17:30, 7852
2017/02/06 02:18:0, 8532
2017/02/06 02:18:30, 8353
2017/02/06 02:19:0, 8503
2017/02/06 02:19:30, 8587
2017/02/06 02:20:0, 9301
2017/02/06 02:20:30, 8976
2017/02/06 02:21:0, 8909
2017/02/06 02:21:30, 8162
2017/02/06 02:22:0, 7971
2017/02/06 02:22:30, 7895
2017/02/06 02:23:0, 7626
2017/02/06 02:23:30, 7560
2017/02/06 02:24:0, 7380
2017/02/06 02:24:30, 7347
2017/02/06 02:25:0, 7271
2017/02/06 02:25:30, 7030
2017/02/06 02:26:0, 6737
2017/02/06 02:26:30, 6418
2017/02/06 02:27:0, 7031
2017/02/06 02:27:30, 6945
2017/02/06 02:28:0, 6891
2017/02/06 02:28:30, 7634
2017/02/06 02:29:0, 8471
2017/02/06 02:29:30, 8609
2017/02/06 02:30:0, 9124
2017/02/06 02:30:30, 8291
2017/02/06 02:31:0, 8647
2017/02/06 02:31:30, 7955
2017/02/06 02:32:0, 7717
2017/02/06 02:32:30, 7418
2017/02/06 02:33:0, 7643
2017/02/06 02:33:30, 8314
2017/02/06 02:34:0, 8192
2017/02/06 02:34:30, 7694
2017/02/06 02:35:0, 7320
2017/02/06 02:35:30, 6641
2017/02/06 02:36:0, 6473
2017/02/06 02:36:30, 6922
2017/02/06 02:37:0, 7516
2017/02/06 02:37:30, 7142
2017/02/06 02:38:0, 6265
2017/02/06 02:38:30, 7435
2017/02/06 02:39:0, 7275
2017/02/06 02:39:30, 6864
2017/02/06 02:40:0, 6308
2017/02/06 02:40:30, 5713
2017/02/06 02:41:0, 5679
2017/02/06 02:41:30, 6647
2017/02/06 02:42:0, 7007
2017/02/06 02:42:30, 9631
2017/02/06 02:43:0, 10541
2017/02/06 02:43:30, 9826
2017/02/06 02:44:0, 9647
2017/02/06 02:44:30, 9050
2017/02/06 02:45:0, 7717
2017/02/06 02:45:30, 6548
2017/02/06 02:46:0, 5819
2017/02/06 02:46:30, 6063
2017/02/06 02:47:0, 6171
2017/02/06 02:47:30, 6009
2017/02/06 02:48:0, 4804
2017/02/06 02:48:30, 7978
2017/02/06 02:49:0, 10757
2017/02/06 02:49:30, 10679
2017/02/06 02:50:0, 10847
2017/02/06 02:50:30, 8265
2017/02/06 02:51:0, 8169
2017/02/06 02:51:30, 6026
2017/02/06 02:52:0, 5947
2017/02/06 02:52:30, 5664
2017/02/06 02:53:0, 6926
2017/02/06 02:53:30, 6977
2017/02/06 02:54:0, 8144
2017/02/06 02:54:30, 6425
2017/02/06 02:55:0, 5843
2017/02/06 02:55:30, 5677
2017/02/06 02:56:0, 5191
2017/02/06 02:56:30, 5227
2017/02/06 02:57:0, 5891
2017/02/06 02:57:30, 5107
2017/02/06 02:58:0, 5212
2017/02/06 02:58:30, 4184
2017/02/06 02:59:0, 11297
2017/02/06 02:59:30, 13984
2017/02/06 03:00:0, 13077
2017/02/06 03:00:30, 10477
2017/02/06 03:01:0, 10579
2017/02/06 03:01:30, 13644
2017/02/06 03:02:0, 13031
2017/02/06 03:02:30, 12684
2017/02/06 03:03:0, 12100
2017/02/06 03:03:30, 11451
2017/02/06 03:04:0, 7614
2017/02/06 03:04:30, 6870
2017/02/06 03:05:0, 7177
2017/02/06 03:05:30, 9007
2017/02/06 03:06:0, 8316
2017/02/06 03:06:30, 16380
2017/02/06 03:07:0, 19248
2017/02/06 03:07:30, 19448
2017/02/06 03:08:0, 16281
2017/02/06 03:08:30, 15622
2017/02/06 03:09:0, 11417
2017/02/06 03:09:30, 10855
2017/02/06 03:10:0, 8412
2017/02/06 03:10:30, 8775
2017/02/06 03:11:0, 10007
2017/02/06 03:11:30, 10710
2017/02/06 03:12:0, 10801
2017/02/06 03:12:30, 8386
2017/02/06 03:13:0, 10051
2017/02/06 03:13:30, 8872
2017/02/06 03:14:0, 12537
2017/02/06 03:14:30, 17240
2017/02/06 03:15:0, 15709
2017/02/06 03:15:30, 17997
2017/02/06 03:16:0, 19807
2017/02/06 03:16:30, 18860
2017/02/06 03:17:0, 17937
2017/02/06 03:17:30, 17451
2017/02/06 03:18:0, 13994
2017/02/06 03:18:30, 12442
2017/02/06 03:19:0, 10988
2017/02/06 03:19:30, 10108
2017/02/06 03:20:0, 8982
2017/02/06 03:20:30, 9757
2017/02/06 03:21:0, 9011
2017/02/06 03:21:30, 8094
2017/02/06 03:22:0, 8676
2017/02/06 03:22:30, 9263
2017/02/06 03:23:0, 7005
2017/02/06 03:23:30, 9247
2017/02/06 03:24:0, 7254
2017/02/06 03:24:30, 10280
2017/02/06 03:25:0, 16982
2017/02/06 03:25:30, 26823
2017/02/06 03:26:0, 31949
2017/02/06 03:26:30, 32145
2017/02/06 03:27:0, 32364
2017/02/06 03:27:30, 32105
2017/02/06 03:28:0, 31135
2017/02/06 03:28:30, 28801
2017/02/06 03:29:0, 27952
2017/02/06 03:29:30, 26313
2017/02/06 03:30:0, 26037
2017/02/06 03:30:30, 23973
2017/02/06 03:31:0, 22371
2017/02/06 03:31:30, 23372
2017/02/06 03:32:0, 22014
2017/02/06 03:32:30, 22248
2017/02/06 03:33:0, 22027
2017/02/06 03:33:30, 21850
2017/02/06 03:34:0, 20780
2017/02/06 03:34:30, 20329
2017/02/06 03:35:0, 19299
2017/02/06 03:35:30, 18080
2017/02/06 03:36:0, 17825
2017/02/06 03:36:30, 17561
2017/02/06 03:37:0, 17262
2017/02/06 03:37:30, 16605
2017/02/06 03:38:0, 16067
2017/02/06 03:38:30, 15338
2017/02/06 03:39:0, 14143
2017/02/06 03:39:30, 12655
2017/02/06 03:40:0, 11985
2017/02/06 03:40:30, 11637
2017/02/06 03:41:0, 11989
2017/02/06 03:41:30, 11974
2017/02/06 03:42:0, 11512
2017/02/06 03:42:30, 13607
2017/02/06 03:43:0, 14220
2017/02/06 03:43:30, 13407
2017/02/06 03:44:0, 12645
2017/02/06 03:44:30, 11982
2017/02/06 03:45:0, 10863
2017/02/06 03:45:30, 10374
2017/02/06 03:46:0, 11114
2017/02/06 03:46:30, 10129
2017/02/06 03:47:0, 10163
2017/02/06 03:47:30, 10666
2017/02/06 03:48:0, 11561
2017/02/06 03:48:30, 11793
2017/02/06 03:49:0, 11651
2017/02/06 03:49:30, 11542
2017/02/06 03:50:0, 12152
2017/02/06 03:50:30, 11204
2017/02/06 03:51:0, 11144
2017/02/06 03:51:30, 10875
2017/02/06 03:52:0, 10818
2017/02/06 03:52:30, 10110
2017/02/06 03:53:0, 10250
2017/02/06 03:53:30, 9986
2017/02/06 03:54:0, 10019
2017/02/06 03:54:30, 9700
2017/02/06 03:55:0, 9106
2017/02/06 03:55:30, 9011
2017/02/06 03:56:0, 8938
2017/02/06 03:56:30, 8600
2017/02/06 03:57:0, 8715
2017/02/06 03:57:30, 8698
2017/02/06 03:58:0, 8195
2017/02/06 03:58:30, 8170
2017/02/06 03:59:0, 7998
2017/02/06 03:59:30, 7807
2017/02/06 04:00:0, 7759
2017/02/06 04:00:30, 7323
2017/02/06 04:01:0, 7455
2017/02/06 04:01:30, 7195
2017/02/06 04:02:0, 7242
2017/02/06 04:02:30, 7091
2017/02/06 04:03:0, 6980
2017/02/06 04:03:30, 6792
2017/02/06 04:04:0, 6707
2017/02/06 04:04:30, 6635
2017/02/06 04:05:0, 6878
2017/02/06 04:05:30, 6677
2017/02/06 04:06:0, 6763
2017/02/06 04:06:30, 6715
2017/02/06 04:07:0, 6466
2017/02/06 04:07:30, 6436
2017/02/06 04:08:0, 6766
2017/02/06 04:08:30, 6197
2017/02/06 04:09:0, 6210
2017/02/06 04:09:30, 6048
2017/02/06 04:10:0, 6144
2017/02/06 04:10:30, 5894
2017/02/06 04:11:0, 6184
2017/02/06 04:11:30, 5874
2017/02/06 04:12:0, 6010
2017/02/06 04:12:30, 5948
2017/02/06 04:13:0, 6429
2017/02/06 04:13:30, 5976
2017/02/06 04:14:0, 6132
2017/02/06 04:14:30, 5886
2017/02/06 04:15:0, 6324
2017/02/06 04:15:30, 5987
2017/02/06 04:16:0, 5803
2017/02/06 04:16:30, 5706
2017/02/06 04:17:0, 5702
2017/02/06 04:17:30, 5514
2017/02/06 04:18:0, 5646
2017/02/06 04:18:30, 5372
2017/02/06 04:19:0, 5574
2017/02/06 04:19:30, 5189
2017/02/06 04:20:0, 5459
2017/02/06 04:20:30, 5253
2017/02/06 04:21:0, 5487
2017/02/06 04:21:30, 5157
2017/02/06 04:22:0, 5182
2017/02/06 04:22:30, 5013
2017/02/06 04:23:0, 5046
2017/02/06 04:23:30, 4761
2017/02/06 04:24:0, 4771
2017/02/06 04:24:30, 4985
2017/02/06 04:25:0, 4974
2017/02/06 04:25:30, 4744
2017/02/06 04:26:0, 5047
2017/02/06 04:26:30, 4764
2017/02/06 04:27:0, 4965
2017/02/06 04:27:30, 4675
2017/02/06 04:28:0, 4805
2017/02/06 04:28:30, 4514
2017/02/06 04:29:0, 4601
2017/02/06 04:29:30, 4582
2017/02/06 04:30:0, 4694
